,Potential Factory Placement,Destination,Distance,Distance_normalized
0,Artemivsk,Tirana,2254544.3,1.9738207659114855
1,Wolsztyn,Tirana,1861989.5,1.630144744110437
2,Baia Mare,Tirana,1191199.3,1.0428776736297556
3,Rybnik,Tirana,1505341.0,1.3179041660782456
4,Gleisdorf,Tirana,1196995.0,1.0479517247419883
5,Sartana,Tirana,2102722.8,1.8409032493154132
6,Simeonovgrad,Tirana,719552.4,0.629957667845093
7,Liteni,Tirana,1301097.9,1.1390923006054152
8,Chisineu-Cris,Tirana,964047.3,0.8440093991769867
9,Kabaty,Tirana,1859324.7,1.6278117504420486
10,Rzhyshchiv,Tirana,1862304.0,1.6304200842893277
11,Zapresic,Tirana,1020565.6,0.8934903493601412
12,Monor,Tirana,958385.8,0.83905283821422
13,Deleni,Tirana,1268128.8,1.110228332745741
14,Bershad,Tirana,1501130.9,1.314218284720064
15,Putnok,Tirana,1190224.6,1.0420243379465606
16,Dorog,Tirana,1029380.2,0.9012074035440857
17,Namyslow,Tirana,1692837.5,1.4820546266550116
18,Mokotow,Tirana,1861897.1,1.6300638492534276
19,Wielki Kack,Tirana,2070954.2,1.8130903017570372
20,Dofteana,Tirana,1033307.3,0.9046455225155386
21,Anyksciai,Tirana,2374790.8,2.0790948289352973
22,Sentilj v Slov. Goricah,Tirana,1127799.2,0.9873718075703195
23,Nagykata,Tirana,977607.6,0.855881244734419
24,Sibenik,Tirana,542663.2,0.475093744246222
25,Lenauheim,Tirana,740573.5,0.6483613353633148
26,Skuodas,Tirana,2499077.5,2.1879060283367067
27,Poiana Teiului,Tirana,1218866.8,1.0671001677456866
28,Krychaw,Tirana,2410235.9,2.110126498807479
29,Cakovec,Tirana,1071053.7,0.9376919470894098
30,Abony,Tirana,941498.6,0.8242683400617107
31,Finkenstein am Faaker See,Tirana,1229314.1,1.0762466270491065
32,Czarnkow,Tirana,1946272.9,1.7039336357909527
33,Bilovec,Tirana,1438557.0,1.2594357447522009
34,Tiszaujvaros,Tirana,1141969.4,0.9997776117131429
35,Banesti,Tirana,867645.2,0.7596107617860621
36,Zelezny Brod,Tirana,1592892.0,1.3945537940657358
37,Prejmer,Tirana,908099.2,0.7950276508062438
38,Varazdin,Tirana,1054154.8,0.9228972057569546
39,Ovidiu,Tirana,1082967.2,0.9481220431823039
40,Raciborz,Tirana,1487420.6,1.3022151163428113
41,Breaza de Sus,Tirana,872234.9,0.7636289774269365
42,Snovsk,Tirana,2088179.8,1.828171064191062
43,Verkhivtseve,Tirana,1839436.0,1.6103994826649268
44,Dobanovci,Tirana,623935.4,0.5462463740931102
45,Caransebes,Tirana,735682.7,0.644079511048787
46,Yaremche,Tirana,1504987.7,1.3175948570632945
47,Sfantu Gheorghe,Tirana,926258.6,0.810925941567926
48,Svitlovodsk,Tirana,1844226.7,1.614593670884361
49,Vapnyarka,Tirana,1478797.5,1.2946657176255043
50,Troyitske,Tirana,1409765.4,1.2342291174245332
51,Ostrov,Tirana,1636561.4,1.4327857190515942
52,Reutte,Tirana,1625062.0,1.422718161489952
53,Novodruzhesk,Tirana,2245721.6,1.966096620295271
54,Vuhlehirsk,Tirana,2214206.7,1.938505783399485
55,Sandanski,Tirana,443770.8,0.38851488540063406
56,Hollabrunn,Tirana,1265783.3,1.1081748815864776
57,Zagan,Tirana,1716141.1,1.502456589748172
58,Henichesk,Tirana,1829870.7,1.6020252015420529
59,Crevedia,Tirana,860581.7,0.7534267702007046
60,Nizhnegorskiy,Tirana,1871170.3,1.6381824010718373
61,Zvecka,Tirana,634081.7,0.555129312271423
62,Poellau,Tirana,1231968.3,1.0785703405715608
63,Kraluv Dvur,Tirana,1533178.2,1.342275230077667
64,Dersca,Tirana,1340401.5,1.1735020311461186
65,Sulejowek,Tirana,1881550.6,1.6472702028490704
66,Ocna Mures,Tirana,981721.5,0.859482904390822
67,Eisenstadt,Tirana,1199901.4,1.0504962356988345
68,Swidwin,Tirana,2110328.0,1.8475614913774165
69,Batonyterenye,Tirana,1063101.7,0.930730086667981
70,Zupanja,Tirana,753684.9,0.659840175495297
71,Asau,Tirana,1049528.8,0.9188472099936837
72,Vrbno pod Pradedem,Tirana,1448406.6,1.2680589263929083
73,Dorohoi,Tirana,1348172.0,1.1803049909555645
74,Negresti,Tirana,1220014.6,1.0681050499629547
75,Velke Mezirici,Tirana,1346732.3,1.1790445545309254
76,Chervonohrad,Tirana,1647321.0,1.4422055924658808
77,Velyka Novosilka,Tirana,2037033.3,1.783393046831327
78,Trencin,Tirana,1299297.7,1.1375162516704735
79,Teresva,Tirana,1369515.6,1.1989910025364008
80,Chervonohryhorivka,Tirana,1812576.6,1.5868844683536434
81,Sulecin,Tirana,1938908.1,1.6974858604348488
82,Biskupiec,Tirana,2048120.2,1.7930994666384623
83,Marijampole,Tirana,2198567.8,1.9248141537535235
84,Galanesti,Tirana,1317648.2,1.1535818477046074
85,Oborniki,Tirana,1905957.2,1.6686378264106456
86,Mielec,Tirana,1446866.1,1.2667102410333495
87,Kurim,Tirana,1312587.3,1.1491511033124029
88,Mohelnice,Tirana,1400995.0,1.2265507596981624
89,Hard,Tirana,1734901.4,1.5188809597260557
90,Diosd,Tirana,979777.3,0.8577807855488524
91,Buryn,Tirana,2172372.0,1.9018801115971267
92,Nasielsk,Tirana,1897267.6,1.661030207909885
93,Bucharest,Tirana,860583.0,0.7534279083318097
94,Seskine,Tirana,2363587.9,2.0692868528141672
95,Ostroleka,Tirana,1969610.5,1.7243653653899391
96,Oleksandrivka,Tirana,1433195.3,1.2547416543319825
97,Nyzhnia Krynka,Tirana,2176320.9,1.9053373161517269
98,Novoukrayinka,Tirana,1695110.7,1.4840447802151213
99,Bechyne,Tirana,1487080.2,1.3019171010903645
100,Pereshchepyne,Tirana,1949752.6,1.7069800625651539
101,Ticleni,Tirana,674178.3,0.5902333027862453
102,Magureni,Tirana,857166.2,0.7504365495933869
103,Mykolaiv,Tirana,1503520.5,1.3163103447883548
104,Ljubuski,Tirana,366066.8,0.32048616279164116
105,Yany Kapu,Tirana,1763489.3,1.543909250664407
106,Plyeshchanitsy,Tirana,2186974.3,1.9146642130095803
107,Narva,Tirana,2946518.9,2.5796344706869005
108,Vilne,Tirana,1839050.6,1.6100620705665343
109,Stefanesti,Tirana,757313.6,0.6630170496038532
110,Aszod,Tirana,1007969.8,0.8824629095341561
111,Salcininkai,Tirana,2297137.9,2.01111084363359
112,Luhacovice,Tirana,1332231.9,1.166349665087403
113,Lunca de Jos,Tirana,1029242.2,0.9010865865498506
114,Stare Mesto,Tirana,1294760.0,1.1335435612738038
115,Sector 6,Tirana,853759.0,0.7474535955154326
116,Dniprovske,Tirana,1867452.7,1.6349276963054005
117,Lustenau,Tirana,1741591.9,1.5247383952327924
118,Campeni,Tirana,940544.8,0.8234333020247441
119,Yambol,Tirana,762203.3,0.667297910884369
120,Vysoke Myto,Tirana,1401054.8,1.2266031137289977
121,Tibana,Tirana,1241978.1,1.0873337749838368
122,Uzice,Tirana,483703.1,0.42347503365347927
123,Mako,Tirana,860352.4,0.753226021383472
124,Barysaw,Tirana,2201758.8,1.9276078278738429
125,Bela Crkva,Tirana,610200.0,0.5342212310306738
126,Zirc,Tirana,1095007.4,0.9586630632836731
127,Sacalaz,Tirana,730414.7,0.6394674536166834
128,Hunedoara,Tirana,824756.8,0.7220625909487368
129,Siemianowice Slaskie,Tirana,1561800.7,1.3673338128131234
130,Kaba,Tirana,1006300.2,0.8810011990010048
131,Harsova,Tirana,1037511.6,0.9083263260580202
132,Nove Mesto nad Metuji,Tirana,1446758.4,1.266615951248718
133,Dragalina,Tirana,967707.2,0.8472135884320655
134,Puchov,Tirana,1334703.2,1.1685132523182227
135,Chirnogi,Tirana,865164.2,0.7574386823462275
136,Dzierzgon,Tirana,2051842.8,1.7963585488322262
137,Otok,Tirana,743976.6,0.6513406999508606
138,Kozloduy,Tirana,591152.5,0.5175454216271065
139,Neusiedl am See,Tirana,1171015.3,1.02520687499468
140,Rohatyn,Tirana,1537244.3,1.3458350415288207
141,Erbiceni,Tirana,1259243.1,1.1024490315452014
142,Berane,Tirana,338466.5,0.29632250129898974
143,Ksieze Male-Ksieze Wielkie,Tirana,1691215.5,1.480634589230017
144,Bohorodchany,Tirana,1556921.2,1.3630618814843556
145,Toekoel,Tirana,982093.1,0.8598082347897912
146,Slobozia,Tirana,981399.6,0.8592010856194867
147,Tura,Tirana,1016617.2,0.8900335825482737
148,Chynadiyovo,Tirana,1321049.7,1.1565598115154083
