,Potential Factory Placement,Destination,Distance,Distance_normalized
0,Elbasan,Tirana,39431.7,0.030219755566698002
1,Roskovec,Tirana,122448.7,0.0938425120768299
2,Lezhe,Tirana,57972.9,0.044429402422229494
3,Gramsh,Tirana,77094.6,0.059083934182709755
4,Fier,Tirana,113925.5,0.08731048275407485
5,Kruje,Tirana,31332.1,0.02401236577148179
6,Kavaje,Tirana,54336.3,0.041642376676602144
7,Tepelene,Tirana,201637.3,0.15453125072286905
8,Puke,Tirana,127855.9,0.09798649426122087
9,Patos Fshat,Tirana,129034.5,0.09888975239898594
10,Gjirokaster,Tirana,231096.0,0.17710787595872463
11,Berat,Tirana,123508.8,0.09465495391616874
12,Shijak,Tirana,29421.8,0.02254834573026969
13,Tirana,Tirana,0.2,1.5327645304005664e-07
14,Bilisht,Tirana,172699.1,0.13235352745605022
15,Mamurras,Tirana,34772.9,0.026649333869582927
16,Librazhd-Qender,Tirana,66418.5,0.050901960481205
17,Sarande,Tirana,264617.0,0.20279777587050332
18,Permet,Tirana,243622.8,0.18670819331843552
19,Peqin,Tirana,62993.4,0.04827702458466752
20,Navapolatsk,Tirana,2354973.5,1.804809925416639
21,Krasnapollye,Tirana,2414102.6,1.8501254190138932
22,Vishnyeva,Tirana,2207461.8,1.6917595746270941
23,Orsha,Tirana,2327537.1,1.783783155035698
24,Rahachow,Tirana,2312937.9,1.7725945870695858
25,Lyepyel',Tirana,2271994.9,1.7412165979854908
26,Karelichy,Tirana,2053912.2,1.574081884358497
27,Volkovysk,Tirana,1923213.6,1.4739167952319914
28,Radaskovicy,Tirana,2153761.0,1.650604233880027
29,Chyst',Tirana,2171135.7,1.6639198958232024
30,Byalynichy,Tirana,2259916.8,1.731960156348175
31,Zhlobin,Tirana,2321773.8,1.779366264126669
32,Lyasny,Tirana,2132102.0,1.634005160398054
33,Ushachy,Tirana,2296524.4,1.760015571759721
34,Baranovichi,Tirana,1978421.9,1.5162274572438479
35,Lyozna,Tirana,2389090.1,1.830956282605571
36,Stowbtsy,Tirana,2039383.5,1.5629473463420815
37,Byelaazyorsk,Tirana,1896445.1,1.4534018915659774
38,Babruysk,Tirana,2248558.6,1.7232554333035774
39,Rechytsa,Tirana,2262239.4,1.7337401557973293
40,Orahovica Donja,Tirana,826278.6,0.6332452651545186
41,Jelah,Tirana,854824.0,0.6551219534675669
42,Blatnica,Tirana,580569.4,0.4449380918779693
43,Kacuni,Tirana,490772.2,0.3761191103333264
44,Derventa,Tirana,836976.4,0.6414438693511783
45,Bosanska Krupa,Tirana,661506.8,0.5069670798293907
46,Janja,Tirana,747547.5,0.5729071463948087
47,Novi Grad,Tirana,967789.7,0.7416968625235024
48,Kljuc,Tirana,581596.5,0.44572524310255646
49,Visoko,Tirana,497949.5,0.3816196657653484
50,Teslic,Tirana,869362.5,0.6662640020301811
51,Tuzla,Tirana,652825.8,0.500314115385187
52,Maglaj,Tirana,589349.4,0.4516669281664278
53,Siroki Brijeg,Tirana,380924.3,0.2919336279038322
54,Novi Travnik,Tirana,493019.4,0.3778413245596845
55,Kiseljak,Tirana,471687.5,0.36149293471665855
56,Foca,Tirana,313065.8,0.23992807696073878
57,Ostrozac,Tirana,746331.8,0.5719754554750047
58,Trebinje,Tirana,271330.5,0.20794288320792542
59,Brod,Tirana,812963.4,0.6230407320169239
60,Vetovo,Tirana,821815.2,0.6298245945520237
61,Balchik,Tirana,1033040.5,0.7917039184336331
62,Razgrad,Tirana,830090.4,0.6361665610730092
63,Lom,Tirana,549617.4,0.4212170280054901
64,Sevlievo,Tirana,652964.8,0.5004206425200499
65,Kardzhali,Tirana,713232.5,0.5466087389644609
66,Cherven Bryag,Tirana,599798.9,0.45967523964663815
67,General Toshevo,Tirana,1047742.3,0.8029711172201547
68,Mezdra,Tirana,574169.7,0.44003347529536696
69,Devnya,Tirana,964575.3,0.7392334033702427
