ID;Name;Country name;Population;Latitude;Longitude
621732;Smilavicy;Belarus;5200;53.7496;28.0115
621986;Shumilina;Belarus;7500;55.2985;29.6121
622258;Senno;Belarus;7092;54.81318;29.70651
624842;Myshkavichy;Belarus;2000;53.2172;29.512
625245;Myazhysyatki;Belarus;1807;53.7776;30.1765
626621;Krasnosel'skiy;Belarus;7300;53.26494;24.42398
627793;Iwye;Belarus;9684;53.9299;25.7727
627800;Ivatsevichy;Belarus;24200;52.709;25.3401
628112;Hotsk;Belarus;1100;52.5215;27.1385
628155;Gorodok;Belarus;12410;55.4624;29.98451
629646;Brahin;Belarus;3900;51.787;30.2677
630543;Antopal';Belarus;2100;52.2038;24.7863
8020004;Druzhny;Belarus;8978;53.6238;27.8977
2657945;Wynau;Switzerland;1610;47.2557;7.81626
2658041;Wauwil;Switzerland;1657;47.18457;8.021
2658051;Wangi;Switzerland;4051;47.49654;8.95325
2658230;Wetzikon / Unter-Wetzikon;Switzerland;2521;47.31637;8.79369
2658287;Turtmann;Switzerland;1025;46.30028;7.702
2658332;Trachselwald;Switzerland;1068;47.01699;7.73639
2658433;Tafers;Switzerland;2833;46.81483;7.21852
2658457;Suhr;Switzerland;9374;47.37172;8.07967
2658512;Stalden;Switzerland;1232;46.23341;7.87273
2658811;Sankt Niklaus;Switzerland;2352;46.17717;7.80349
2659078;Reiden;Switzerland;3926;47.24719;7.97135
2659129;Puidoux;Switzerland;2398;46.50093;6.78249
2659317;Obfelden;Switzerland;4039;47.26413;8.4215
2659406;Oberbuchsiten;Switzerland;1807;47.31334;7.76836
2659891;Liestal;Switzerland;12832;47.48455;7.73446
2659963;Le Landeron;Switzerland;4278;47.05702;7.07052
2659998;Laupen;Switzerland;2774;46.90214;7.23973
2660029;Langrickenbach;Switzerland;1031;47.59353;9.24727
2660120;Kolliken;Switzerland;4059;47.33337;8.02237
2660160;Killwangen;Switzerland;1783;47.43223;8.35097
2660200;Kaisten;Switzerland;2140;47.5416;8.04337
2660226;Jenaz;Switzerland;1130;46.92892;9.71275
2660350;Himmelried;Switzerland;1002;47.42136;7.59985
2660564;Gonten;Switzerland;1406;47.32725;9.34705
2660575;Goldach;Switzerland;9094;47.47401;9.46711
2660607;Gipf-Oberfrick;Switzerland;3102;47.49875;8.00497
2660710;Froideville;Switzerland;1518;46.60123;6.68085
2660721;Freienbach;Switzerland;14302;47.20534;8.75842
2660864;Ersigen;Switzerland;1507;47.09368;7.59507
2660876;Eriswil;Switzerland;1414;47.07816;7.85149
2660965;Durnten;Switzerland;1032;47.27856;8.84156
2661132;Confignon;Switzerland;3425;46.17341;6.08437
2661214;Chardonne;Switzerland;2659;46.47676;6.8268
2661219;Chancy;Switzerland;942;46.15003;5.97153
2661456;Bolligen;Switzerland;6086;46.9751;7.49697
2661495;Birmenstorf;Switzerland;2462;47.46152;8.24816
2661601;Bassecourt;Switzerland;3305;47.33808;7.24373
2661719;Arlesheim;Switzerland;9301;47.49412;7.61979
2661879;Aarburg;Switzerland;6828;47.32067;7.89986
6291243;Kloten / Freienberg (Chanzler-Chlini Chaseren);Switzerland;1588;47.46584;8.58145
6293333;Kuesnacht / Schiedhalden;Switzerland;1033;47.32112;8.58881
6293970;Tagelswangen;Switzerland;1606;47.4307;8.67284
6294425;Greifensee / Pfisterhoelzli;Switzerland;1135;47.3643;8.68979
6294548;Uster / Nieder-Uster;Switzerland;4128;47.34743;8.70088
6294550;Uster / Ober-Uster;Switzerland;5100;47.34874;8.73319
6295111;Oberwinterthur (Kreis 2) / Zinzikon;Switzerland;1842;47.5195;8.7564
6295503;Zuerich (Kreis 5) / Escher-Wyss;Switzerland;1846;47.39052;8.51292
7303237;Saint Saphorin;Switzerland;0;46.47329;6.79601
10295648;Gansingen;Switzerland;0;47.5429;8.13516
11790567;Rueegsau;Switzerland;0;47.02483;7.67395
781468;Surroj;Albania;0;41.99222;20.34417
781862;Qukes-Skenderbe;Albania;0;41.08389;20.43806
782049;Petran;Albania;0;40.20944;20.41833
783086;Gostime;Albania;0;41.14556;20.24
783214;Fushe-Arrez;Albania;2438;42.06222;20.01667
783446;Cerava;Albania;0;40.85139;20.725
783734;Arren;Albania;0;41.91306;20.28833
3183966;Starove;Albania;1043;40.71722;19.91778
3184290;Roskovec;Albania;6657;40.7375;19.70222
3184397;Progonat;Albania;0;40.21333;19.94472
3186082;Berdica e Madhe;Albania;0;42.01528;19.48167
2760622;Zellerndorf;Austria;1144;48.69657;15.95841
2760903;Wolfsegg am Hausruck;Austria;995;48.10669;13.67274
2760943;Wolfau;Austria;1436;47.25;16.1
2761117;Windhaag bei Freistadt;Austria;477;48.58774;14.56186
2761779;Weibern;Austria;711;48.18333;13.7
2763160;Ungenach;Austria;194;48.04756;13.61472
2763466;Traisen;Austria;3453;48.03333;15.6
2763837;Taxenbach;Austria;907;47.29116;12.96215
2764026;Sulz;Austria;2527;47.28721;9.65183
2764140;Strem;Austria;599;47.04498;16.41426
2764625;Stattegg;Austria;0;47.13333;15.41667
2765487;Schwarzau im Schwarzautal;Austria;259;46.87886;15.66421
2765888;Schlitters;Austria;1481;47.38045;11.83888
2766350;Sankt Veit in Defereggen;Austria;0;46.92722;12.42972
2766372;Sankt Ulrich bei Steyr;Austria;1379;48.02116;14.43685
2766510;Sankt Martin im Innkreis;Austria;0;48.29387;13.43868
2766668;Sankt Jakob-Breitenau;Austria;1127;47.39229;15.4297
2766779;Sankt Aegidi;Austria;263;48.47929;13.73737
2767707;Reingers;Austria;194;48.96667;15.13333
2767777;Reichenau an der Rax;Austria;1276;47.69509;15.84572
2767928;Rassach;Austria;333;46.86028;15.27
2767936;Rappottenstein;Austria;307;48.52161;15.07925
2767977;Raning;Austria;510;46.85;15.81667
2768125;Radfeld;Austria;2495;47.44806;11.91424
2768357;Prellenkirchen;Austria;1036;48.07401;16.95233
2768359;Preitenegg;Austria;271;46.94;14.92583
2768618;Poggersdorf;Austria;829;46.65;14.45
2768827;Pill;Austria;1174;47.32352;11.68018
2768829;Pilgersdorf;Austria;594;47.44106;16.3492
2768839;Pierbach;Austria;274;48.34815;14.75575
2768897;Piberegg;Austria;174;47.09424;15.11658
2769212;Paternion;Austria;676;46.71417;13.63611
2769409;Orth an der Donau;Austria;2086;48.14524;16.70089
2769812;Oberpullendorf;Austria;2019;47.50352;16.50447
2770634;Neuzeug;Austria;5346;48.05;14.33333
2770916;Natternbach;Austria;1027;48.3973;13.74965
2770974;Mutters;Austria;1587;47.23333;11.38333
2770995;Muerzsteg;Austria;173;47.67556;15.49145
2770996;Muerzhofen;Austria;921;47.48333;15.38333
2771408;Mitterndorf im Steirischen Salzkammergut;Austria;1043;47.55556;13.93187
2772672;Lendorf;Austria;920;46.83528;13.43028
2772753;Leibnitz;Austria;8533;46.78161;15.53836
2773110;Lambach;Austria;3279;48.09276;13.87453
2773278;Kuehnsdorf;Austria;1521;46.62194;14.63639
2774341;Kitzeck im Sausal;Austria;0;46.78072;15.45384
2774370;Kirchschlag;Austria;240;48.39345;15.22285
2775000;Jungholz;Austria;301;47.57409;10.44723
2775399;Hundsheim;Austria;590;48.11749;16.93581
2776358;Hinterbruehl;Austria;3466;48.08611;16.24809
2776485;Hernstein;Austria;473;47.89465;16.10561
2776497;Hermagor;Austria;1535;46.62722;13.36722
2776676;Haunoldstein;Austria;302;48.2;15.45
2777297;Gugging;Austria;1173;48.31385;16.24852
2777839;Gross-Engersdorf;Austria;1478;48.35873;16.5661
2778252;Goestling an der Ybbs;Austria;556;47.80664;14.93797
2778953;Galtuer;Austria;765;46.96667;10.18333
2779339;Frauenberg;Austria;69;47.42855;15.34206
2779379;Frankenfels;Austria;439;47.98234;15.32593
2779569;Finkenstein;Austria;1402;46.56155;13.87086
2779704;Feistritz im Rosental;Austria;1015;46.51667;14.16667
2779828;Falkenburg;Austria;1063;47.5;14.08333
2780397;Edt bei Lambach;Austria;24;48.11667;13.88333
2780450;Edelsgrub;Austria;692;47.03333;15.6
2780514;Eberstalzell;Austria;1065;48.04392;13.98319
2780741;Dornbirn;Austria;49278;47.41427;9.74195
2780886;Doebriach;Austria;1285;46.78049;13.65738
2781269;Buch in Tirol;Austria;2548;47.37447;11.754
2781861;Bergham;Austria;1171;48.28182;14.23141
2782056;Bad Gleichenberg;Austria;1516;46.87556;15.90861
2782106;Axams;Austria;5130;47.23111;11.27892
2782371;Aschach an der Donau;Austria;1933;48.36458;14.02044
2782691;Altenfelden;Austria;1163;48.48555;13.9698
2782796;Allerheiligen im Muehlkreis;Austria;371;48.30215;14.65061
3319575;Oberperfuss;Austria;3043;47.24451;11.24755
3324619;Kleinedling;Austria;1840;46.81417;14.82778
6692403;Lockenhaus;Austria;1058;47.40753;16.41623
11592306;Assling;Austria;0;46.78663;12.63951
11609343;Wagrain;Austria;1429;48.00503;13.67163
11695065;Haidl;Austria;1931;48.17267;14.05297
11746593;Esch;Austria;1721;47.8403;13.09223
11746606;Schachen bei Vorau;Austria;1190;47.3801;15.85816
11903657;Reitberg;Austria;1156;47.85269;13.1573
3192793;Polje-Bijela;Bosnia and Herzegovina;1078;43.63299;17.97216
3197112;Krupa na Vrbasu;Bosnia and Herzegovina;1257;44.61875;17.14351
3197138;Teocak;Bosnia and Herzegovina;0;44.60321;18.97967
3197296;Kresevo;Bosnia and Herzegovina;0;43.86556;18.04333
3198490;Kakanj;Bosnia and Herzegovina;12406;44.13311;18.12292
3204222;Bihac;Bosnia and Herzegovina;75641;44.81694;15.87083
3204590;Balatun;Bosnia and Herzegovina;1400;44.86332;19.33931
3211929;Knezica;Bosnia and Herzegovina;4792;45.10548;16.67668
3344411;Jablanica;Bosnia and Herzegovina;6209;43.66028;17.76167
