,ID,Name,Country name,Population,Latitude,Longitude,score,score_inverted
49752,11903636,Donaustadt,Austria,187007,48.2333,16.46002,909.0961085188349,0.0010999937087281919
64572,2769110,Perchtoldsdorf,Austria,15047,48.11935,16.26607,924.9143315087503,0.0010811812142306927
15268,3058531,Nitra,Slovakia,86329,48.30763,18.08453,947.4644641147942,0.0010554485554603774
30067,2773653,Kottingbrunn,Austria,7417,47.95096,16.22715,950.1649991716962,0.001052448786128459
65680,3057339,Surany,Slovakia,9782,48.08613,18.18447,955.4384115994512,0.0010466399381263629
36298,3060095,Hlohovec,Slovakia,23930,48.43174,17.8031,974.0013198666223,0.0010266926539041425
65678,3056495,Zlate Moravce,Slovakia,15618,48.38553,18.40063,980.4287855172989,0.0010199618929715275
49899,3072476,Kurim,Czech Republic,9283,49.29852,16.53144,981.704034641195,0.0010186369462823813
2691,3055038,Biatorbagy,Hungary,8632,47.4706,18.81892,981.7509120412038,0.0010185883076195505
54071,2763795,Ternitz,Austria,7378,47.71565,16.03575,984.5938423856614,0.0010156472211699085
