product_group;vol_per_item
iFit Adaptors on tread;1
iFit Manifolds;1
iFIT Module metal;1
iFit Others;1
iFit Outlet joints;1
Instaflex Metal manifolds;1
Instaflex Outlet joint;1
Instaflex Valves in brass;1
JRG General;1
Safety valves;1
Pressure reducing valves;1
New JRGURED pressure reducing valves;1
JRGURED Combi;1
Distribution valve complete;1
Back flow preventer;1
Lockable return flow inhibitor;1
Filter;1
Safety groups;1
Blending valves;1
Legio Therm System;1
Y-type valves MT;1
Straight seat valves MT;1
Concealed straight seat valves;1
Push systems Y-type valves;1
Push systems lockable combined valves;1
Y-type valves;1
JRGUSIT;1
Water meter bracket;1
Straight seat valves;1
JRG Ball valves 1;1
Gas ball valves/JRG Accessories;1
JRGUTHERM, adjusting sockets;1
Gate valves / needle valves;1
Hose taps;1
Garden valves antifrost;1
JRG Accessories;1
Push system tool;1
SANIPEX general;2
SANIPEX pipes 12;2
SANIPEX pipes 16 + 20;2
SANIPEX pipes 25 + 32;2
SANIPEX pipes 40 - 63;2
SANIPEX parts 12;1
SANIPEX parts 16 + 20;1
SANIPEX parts 25 + 32;1
SANIPEX parts 40 - 63;1
Parts to front wall sytems;1
SANIPEX connection parts 12;1
SANIPEX connection parts 16 + 20;1
SANIPEX boxes 12;2
SANIPEX boxes 16 + 20;2
SANIPEX valves;1
SANIPEX installations aids/accessories;1
SANIPEX tools 12;2
SANIPEX tools 16 + 20;2
SANIPEX tools 25 + 32;2
SANIPEX-CALOR pipes 12;2
SANIPEX-CALOR pipes 16;2
SANIPEX-CALOR own parts 12;2
SANIPEX-CALOR own parts 16;2
SANIPEX-CALOR commodities;1
SANIPEX MT general;1
MT Pipes 16 + 20;2
MT Pipes 26;2
MT Pipes 32 + 40;2
MT Pipes 50 + 63;2
MT Pipes in coils 16 + 20;2
MT Pipes in coils 26;2
MT Pipes in coils 32;2
Plastic components 16 + 20;1
Plastic components 26;1
Plastic components 32 + 40;2
Plastic components 50 + 63;2
Gunmetal components 16 + 20;2
Gunmetal components 26;2
Gunmetal components 32 + 40;2
Gunmetal components 50 + 63;2
Fitting connections;1
MT valves;1
Fittings and components internally coated;1
Installations aids/accessories;1
Tool suitcase complete;2
Tool suitcase complete (hand tool);2
Bending tool suitcase complete;2
Hydraulic unit;1
Single tools 16 + 20;1
Single tools 26;1
Single tools 32 + 40;1
Single tools 50 + 63;1
Single hand expanding pliers;1
Single bending template 16 + 20;1
Single bending template 26;1
Single bending template 32 + 40;1
JRGUSIT NG;1
SANIPEX pipes 20;2
SANIPEX parts 20;2
SANIPEX connection parts 20;1
MT Pipes 20;2
MT Pipes in coils 20;2
Gunmetal components 20;2
Adapter iFIT-MT;1
JRG General/MT Pipes in coils 12;1
JRG fitting components;1
JRG milling parts;1
JRG gunmetal parts;1
JRG pressed parts;1
JRG construction groups;2
JRG metal casting;1
JRG OEM milling;1
JRG OEM;1
Bypass blending valves;1
SANIPEXMT D„mmschalen;1
E-branch saddle ELGEF 90-125;1
E-coupler ELGEF 20-63;1
E-coupler ELGEF 355-500;1
E-coupler ELGEF 560 - 800;1
E-coupler ELGEF 75-160;1
E-coupler Type LI 20-225;1
E-coupler Type LU 20-63;1
E-coupler Type LU 355-500;1
E-coupler Type LU 560-630;1
E-coupler Type LU 75-160;1
E-coupler Waviduo;1
E-fittings ELGEF > 180;1
E-fittings ELGEF 20 - 180;1
E-fittings ELGEF loose nut PE/brass;1
E-fittings ELGEF PE/brass;1
E-fittings ELGEF PE/steel;1
E-fittings ELGEF single part;1
UPP;1
E-fittings Type LI 20 - 180;1
E-fittings Type LU 20 - 180;1
E-fittings Type LU PE/brass;1
Electro Fusion unit GFW;1
E-saddles ELGEF;1
E-Saddles ELGEF 24V;1
E-Saddles ELGEF 24V single part;1
E-saddles ELGEF accessories;1
E-saddles ELGEF DAV System C (Voigt);1
E-saddles ELGEF DAV System P (Ewe);1
E-saddles ELGEF gasstop;1
E-Saddles ELGEF Monobloc;1
E-saddles ELGEF single part;1
E-saddles Type LU;1
E-saddles Type LU Monobloc;1
Flange;1
PP-V / PP-Steel Flanges;1
Primofit others;1
PVC-U Saddles;2
PVC-U Saddles single part;2
PVP-System;1
Spigot fittings PE100;2
Spigot fittings PE100 with E-coupler ELGEF (Kit);1
Spigot fittings Type L (wavin) PE100;1
Stopp-off Valves ELGEF PE >63;1
Stopp-off Valves ELGEF PE single part;1
Tools GFW;1
E-coupler GFCP >12 Inch/315mm;1
Geothermal Energy;0
E-coupler ELGEF 900 - 12000;1
E-branch saddle ELGEF 160-225;2
E-branch saddle ELGEF 315-500;2
E-coupler Type U PP-H;1
E-saddles ELGEF MB-Y;2
E-coupler ELGEF 180-225;2
E-coupler ELGEF 250-315;2
E-coupler ELGEF single part;2
E-coupler Type LU 180-225;2
E-coupler Type LU 250-315;2
E-fittings Type LU > 180;1
Spigot fittings Type I (Rollmaplast) PE80;2
Stopp-off Valves ELGEF PE <=63;2
Instaflex PB Fittings d125;1
Instaflex PB Fittings d160;1
Instaflex PB Fittings d225;1
ABS Pipes Metric;5
ABS Adapter Fittings metric;2
PE100 Butt Fusion fittings (short);1
PP Butt Fusion Fittings;1
PP Liner Pipes external sourced;1
COOL-FIT Plus Fittings (ABS);1
PROGEF-Plus PP-H Pipes;4
PROGEF-Natural Pipes;4
PVC-C Pipes Others;3
PVC-C Liner Pipes own;3
PVC-C Liner Pipes external sourced;3
PVC-U Pipes Others;3
PVC-U Pipes SDR 21 & 13,6;3
PVC-U Pipes Troisdorfred;3
PVC-U Pipes clear;3
PVC-U L-HP Pipes;3
Instaflex PB Pipe d125;3
Instaflex PB Pipe d160;3
PE Pipes metric;5
PVC-U Liner Pipes own;3
PP Pipes Others;3
PROGEF Pipes;3
PVC-C Pipes;4
PVC-U Pipes Metric;5
PVC-U Liner Pipes external sourced;3
PE Socket Fusion Fittings;1
PP Socket Fusion Fittings;1
PVC-U Solvent Cement Fittings metric;2
PP Liner Pipes own;4
PE Pipes Others;4
PE pipes FM approved;5
COOL-FIT 4.0 Accessories;2
Instaflex PB Pipe d225;4
ABS Adapter Fittings BS;1
PVC-U Adapter Fittings BS;1
PVC-U Adapter Fittings metric;1
iJOINT;1
PVC Flanges;1
Installation Fittings for Signet;1
Saddles other standards (incl. ASTM);2
ALPRENE M and Rural;2
POLY16Plus M;1
PVC-U Ball Valves 375 manual;1
PVC-U Ball Valves other 375 manual;1
PVC-U Strainer 050;1
Saddles with reinf. Ring M;2
Saddles without reinf. Ring M;2
ABS Solvent Cement Fittings BS;2
ABS Solvent Cement Fittings metric;3
PVC-C Solvent Cement Fittings;3
PVC-U Solvent Cement Fittings BS;3
Tapping Saddles;2
TP Adapter Fittings and threaded pipe fittings M/G;1
TP Ball Valves not metric;2
TP VFA Butterfly Valves;1
TP Check and Air realease Valves;1
TP PVC-U VSA 18-22 Ball Valves metric;1
TP ABS Fittings;2
TP PP-H Fittings;2
TP  PVC-U VSA 21-11 Ball Valves metric;2
TP  PVC-U VSI Ball Valves black metric;2
TP PVC-U Solvent cement Fittings BS and adapter fi;2
TP PVC-U Solvent cement Fittings metric;2
TP Spare parts/gaskets/assessories/components;1
TP ABS Valves;1
PVC-C Ball Valves other 375 manual;2
PVC-U Welded Fittings;2
Accessories Double Containment;1
PE Adapter Fittings Butt Fusion;1
PP Adapter Fittings;1
PROGEF Natural PP-R Butt Sanitary Adaptors;1
PP Adapter Unions;1
AS-Interface;1
PROGEF Natural PP-R Butt Adaptors/Unions;1
PE Butt Fusion Fittings;1
PP-R (natural) Butt Fusion Fittings;1
Components for Pneumatic Actuators;2
Components for VAFM;2
PROGEF Fittings CDB;3
iFit Tools;2
Instaflex Carriers for pipe;3
Instaflex Compression fittings;2
Instaflex Electro fusion fittings PB d16-d110;1
Instaflex Machines and Tools;3
Instaflex PB Pipe in bars;4
Instaflex PB Pipe with protective pipe in coils;4
Instaflex Pipe Accessories;2
Instaflex PB Socket fusion fitting d16-d110;2
Instaflex Special fittings;1
COOL-FIT Plus Pipes (ABS);4
Positioner for pneumatic actuators;1
PROGEF Check Valves 369;1
PVC-U Ball Valves other 546 manual DN10-50;1
PVC-U Check Valves 369;1
PVC-U Inspection glass 001;1
IS OT Henkel;1
VAFM type 335;1
VAFM type 350;1
Double Containment Valves;1
Variable Area Flow Meters;1
Inline Rotor;1
Integral Systems;1
Paddlewheel Plastic;1
PVC-U Tee Fittings;1
COOL-FIT 2.0 Fittings (PE100);1
COOL-FIT 4.0 Fittings (PE100);1
Tangit Rapid;1
COOL-FIT 2.0 Valves;1
PVC-U Ball Valve 546 electric NEW EA 2015;1
PVC-U Ball Valve 543 electric NEW EA 2015;1
COOL-FIT 2.0/4.0 Tools;2
Accessories for tools for plastic R082;1
Accessories / Spare parts for IR, WNF, etc.;1
Rotary Peeler RS;1
WBI Tool;1
ABS Angle seat Valves 305;2
ABS Ball Valves metric 546 electric;2
ABS Ball Valves metric 546 manual DN10-50;2
ABS Ball Valves metric 546 manual DN65-100;2
ABS Ball Valves metric 546 pneumatic;2
ABS Ball Valves other 543 manual;2
ABS Ball Valves other 543 pneumatic;2
ABS Ball Valves other 546 manual DN10-50;2
ABS Ball Valves other 546 pneumatic;2
ABS Butterfly Valves 567;2
ABS Butterfly Valves 568;1
ABS Diaphragm Valves metric 315 manual;1
ABS Diaphragm Valves metric 317 DIASTAR;1
ABS Diaphragm Valves metric 317 manual;1
Accessories for electric actuators;2
Actuation other;1
DIAPHRAGMS;1
DIASTAR ST195;1
Electric actuator;2
Components for Diaphragm Valves PVC-C;1
Components for Diaphragm Valves PVC-U;1
Components for Diaphragm Valves SYGEF Standard;1
Components for Electric Actuators;1
Components for PROGEF;1
Butt Fusion machine for drainage pipes Weld 160 /;1
iFit Adaptors;1
iFit Module plastic;1
Instaflex Valves in plastic (without PB);3
Instaflex BTV 2 Spare Parts;3
Pneumatic rotary actuator (own);1
Pneumatic stroke actuators;2
Position feedback for pneumatic actuators;2
PROGEF Ball Valves 343 pneumatic;1
PROGEF Ball Valves 543 manual;1
PROGEF Ball Valves 543 pneumatic;1
PROGEF Ball Valves 546 electric;1
PROGEF Ball Valves 546 manual DN10-50;1
PROGEF Ball Valves 546 manual DN65-100;1
PROGEF Ball Valves 546 pneumatic;1
PROGEF Ball Valves 547 manual;1
PROGEF Butterfly Valves 140;1
PROGEF Butterfly Valves 240-242;1
PROGEF Butterfly Valves 567;1
PROGEF Butterfly Valves 568;11
PROGEF Diaphragm Valves 317 DIASTAR;1
PROGEF Diaphragm Valves 317 manual;1
PROGEF Plus Diaphragm Valves 314 manual;1
PROGEF Plus Diaphragm Valves 317 manual;1
PVC-C Angle Seat Valves 305;1
PVC-C Ball Valves metric 543 manual;1
PVC-C Ball Valves metric 543 pneumatic;1
PVC-C Ball Valves metric 546 manual DN10-50;1
PVC-C Ball Valves metric 546 manual DN65-100;1
PVC-C Ball Valves metric 546 pneumatic;1
PVC-C Ball Valves other 543 manual;1
PVC-C Ball Valves other 543 pneumatic;1
PVC-C Ball Valves other 546 manual DN10-50;1
PVC-C Ball Valves other 546 manual DN65-100;1
PVC-C Ball Valves other 546 pneumatic;1
PVC-C Butterfly Valves 240-242;1
PVC-C Butterfly Valves 567;1
PVC-C Diaphragm other Valves 317 manual;1
PVC-C Diaphragm Valves metric 317 DIASTAR;1
PVC-C Diaphragm Valves metric 317 manual;1
PVC-C Diaphragm Valves other 315 DIASTAR;1
PVC-C Diaphragm Valves other 317 DIASTAR;1
PVC-U Angle Seat Valves 300-306;1
PVC-U Ball Check Valves 360;1
PVC-U Ball Valves metric 322-324 manual;1
PVC-U Ball Valves metric 353-355 manual;1
PVC-U Ball Valves metric 543 electric;1
PVC-U Ball Valves metric 543 manual;1
PVC-U Ball Valves metric 543 pneumatic;1
PVC-U Ball Valves metric 546 electric;1
PVC-U Ball Valves metric 546 manual DN10-50;1
PVC-U Ball Valves metric 546 manual DN65-100;1
PVC-U Ball Valves metric 546 pneumatic;1
PVC-U Ball Valves other 322-324 manual;1
PVC-U Ball Valves other 353-355 manual;1
PVC-U Ball Valves other 543 electric;1
